,gender,name,original_name
152647,2,Peter Haskell,Peter Haskell
3226170,0,Leo Beuerman,Leo Beuerman
2784503,0,Robert Gilbert,Robert Gilbert
3753,2,Giancarlo Giannini,Giancarlo Giannini
1137237,2,Wolfgang Jansen,Wolfgang Jansen
1312165,0,Peter Kuiper,Peter Kuiper
1238844,2,Sergio Franchi,Sergio Franchi
24700,2,Renato Rascel,Renato Rascel
99533,1,Patrizia Valturri,Patrizia Valturri
32315,2,Gigi Ballista,Gigi Ballista
236519,2,Quinto Parmeggiani,Quinto Parmeggiani
1367877,0,Carlo Caprioli,Carlo Caprioli
55134,2,Francesco Mulè,Francesco Mulè
33795,2,Aldo De Carellis,Aldo De Carellis
1238902,2,Tim Donnelly,Tim Donnelly
1593862,0,Dieter Wilken,Dieter Wilken
41166,2,Pino Ferrara,Pino Ferrara
1308075,0,Carlo Capannelle,Carlo Capannelle
32675,2,Luigi Bonos,Luigi Bonos
3846869,0,Pippo Lauricella,Pippo Lauricella
3103657,0,Chris Anders,Chris Anders
113538,2,Peter Schildt,Peter Schildt
934978,1,Kerstin Tidelius,Kerstin Tidelius
107909,2,Roland Hedlund,Roland Hedlund
934981,0,Marie De Geer,Marie De Geer
31199,0,Olof Bergström,Olof Bergström
108112,2,Jonas Bergström,Jonas Bergström
1399208,0,Stefan Feierbach,Stefan Feierbach
1263395,0,Martin Widerberg,Martin Widerberg
1501263,2,Olle Björling,Olle Björling
81214,2,Pierre Lindstedt,Pierre Lindstedt
3493350,0,Tommy Holmström,Tommy Holmström
2393293,0,Gunnar Norberg,Gunnar Norberg
3493352,0,Elisabet Wallin,Elisabet Wallin
3493354,0,Rolf Tourd,Rolf Tourd
3493355,0,Martin Fahlén,Martin Fahlén
3493356,0,Sölve Forsell,Sölve Forsell
3493357,0,Hedvig Johansson,Hedvig Johansson
110976,1,Milena Dravić,Milena Dravić
112393,2,​Ljubiša Samardžić,​Ljubiša Samardžić
21606,1,Sylva Koscina,Sylva Koscina
82496,2,Pavle Vuisić,Pavle Vuisić
260683,2,Fabijan Šovagović,Fabijan Šovagović
42124,2,Oleg Vidov,Oleg Vidov
931991,1,Špela Rozin,Špela Rozin
27383,2,Howard Ross,Howard Ross
1333492,2,Ralph Persson,Ralph Persson
70548,2,Mikhail Ulyanov,Mikhail Ulyanov
578089,1,Lionella Pyryeva,Lionella Pyryeva
142508,2,Kirill Lavrov,Kirill Lavrov
97367,2,Andrey Myagkov,Andrey Myagkov
1190680,0,Mark Prudkin,Mark Prudkin
1093051,1,Svetlana Korkoshko,Svetlana Korkoshko
239703,2,Valentin Nikulin,Valentin Nikulin
592122,2,Pavel Pavlenko,Pavel Pavlenko
2066747,2,Grigori Kirillov,Grigori Kirillov
2596396,0,Nikolay Svetlovidov,Nikolay Svetlovidov
86797,2,Aleksandr Khvylya,Aleksandr Khvylya
1624533,2,Nikolai Ryzhov,Nikolai Ryzhov
67504,2,Andrei Abrikosov,Andrei Abrikosov
1837600,2,Yevgeni Teterin,Yevgeni Teterin
1038575,2,Gennadiy Yukhtin,Gennadiy Yukhtin
543863,2,Anatoli Adoskin,Anatoli Adoskin
1158409,2,Mark Pertsovsky,Mark Pertsovsky
589068,2,Nikita Podgornyj,Nikita Podgornyj
586216,2,Nikolai Prokopovich,Nikolai Prokopovich
1190397,2,Yuri Rodionov,Yuri Rodionov
2398730,2,Ivan Vlasov,Ivan Vlasov
588065,0,Viktor Kolpakov,Viktor Kolpakov
1365622,1,Varvara Popova,Varvara Popova
86708,1,Tamara Nosova,Tamara Nosova
2612265,0,Lyubov Korneva,Lyubov Korneva
2612237,0,Olga Chuvayeva,Olga Chuvayeva
562605,1,Yevdokiya Urusova,Yevdokiya Urusova
13706,2,Ivan Lapikov,Ivan Lapikov
1438243,2,Sergei Kalinin,Sergei Kalinin
2354369,0,Zhanna Dianova,Zhanna Dianova
556920,2,Vladimir Osenev,Vladimir Osenev
2612281,0,Pavel Strelin,Pavel Strelin
86826,2,Georgi Georgiu,Georgi Georgiu
9765,1,Françoise Fabian,Françoise Fabian
24393,1,Marie-Christine Barrault,Marie-Christine Barrault
44398,2,Léonide Kogan,Léonide Kogan
223269,0,Guy Léger,Guy Léger
1372857,0,Anne Dubot,Anne Dubot
2948914,0,Marie Becker,Marie Becker
2539508,0,Marie-Claude Rauzier,Marie-Claude Rauzier
12410,2,Bo Hopkins,Bo Hopkins
176445,2,Paul Harper,Paul Harper
31321,2,Jorge Russek,Jorge Russek
22767,2,Alfonso Arau,Alfonso Arau
160598,2,Bill Hart,Bill Hart
990426,1,Sonia Amelio,Sonia Amelio
239944,2,Chalo González,Chalo González
107285,2,Chano Urueta,Chano Urueta
544591,1,Aurora Clavel,Aurora Clavel
1715664,0,René Dupeyrón,René Dupeyrón
564929,0,Pedro Galván,Pedro Galván
1509586,1,Graciela Döring,Graciela Döring
557983,2,Fernando Wagner,Fernando Wagner
174426,2,Ivan J. Rado,Ivan J. Rado
553168,1,Lilia Castillo,Lilia Castillo
1391093,0,Archie Butler,Archie Butler
1788495,0,Tap Canutt,Tap Canutt
70987,2,Gordon T. Dawson,Gordon T. Dawson
1400372,2,Mickey Gilbert,Mickey Gilbert
60916,2,Buck Holland,Buck Holland
953975,2,Matthew Peckinpah,Matthew Peckinpah
3830,1,Jean Seberg,Jean Seberg
163548,2,Tom Ligon,Tom Ligon
1076631,0,Terry Jenkins,Terry Jenkins
92761,2,H.B. Haggerty,H.B. Haggerty
1125664,0,Geoffrey Norman,Geoffrey Norman
2412916,0,Karl Bruck,Karl Bruck
14786,2,John Mitchum,John Mitchum
2050199,0,Patrick Hawley,Patrick Hawley
2616911,2,Tony Colti,Tony Colti
1435049,2,Roger Herren,Roger Herren
22556,1,Ruth Buzzi,Ruth Buzzi
227420,0,Ricahrd Bakalyan,Ricahrd Bakalyan
109453,0,Ward Kimball,Ward Kimball
1555333,0,John Emerson,John Emerson
1555334,0,Jim Swain,Jim Swain
1555335,0,Ann Lord,Ann Lord
1555336,0,Hank Schloss,Hank Schloss
1144460,0,Walter Perkins,Walter Perkins
1555337,0,Rolf Darbo,Rolf Darbo
1107491,2,Blake James,Blake James
55257,2,Adam Arkin,Adam Arkin
164003,2,Matthew Arkin,Matthew Arkin
18323,2,Marc Lawrence,Marc Lawrence
24318,2,Richard Benjamin,Richard Benjamin
46597,1,Ali MacGraw,Ali MacGraw
309103,0,Michael Meyers,Michael Meyers
1452155,0,Lori Shelle,Lori Shelle
1452156,0,Kay Cummings,Kay Cummings
1716153,0,Sylvie Strause,Sylvie Strause
1190722,1,Royce Wallace,Royce Wallace
1999085,2,Anthony McGowan,Anthony McGowan
19133,1,Mari Gorman,Mari Gorman
1999116,2,Max Peerce,Max Peerce
138103,0,Rey Baumel,Rey Baumel
276531,2,Delos V. Smith Jr.,Delos V. Smith Jr.
1999148,1,Gail Ommerle,Gail Ommerle
1999150,2,David Benedict,David Benedict
8699,2,Michael Nouri,Michael Nouri
1756468,0,Reuben Schafer,Reuben Schafer
155890,1,Julie Garfield,Julie Garfield
194477,1,Susan Lucci,Susan Lucci
55635,1,Jaclyn Smith,Jaclyn Smith
32059,2,Helmut Griem,Helmut Griem
32058,2,Helmut Berger,Helmut Berger
39710,2,Renaud Verley,Renaud Verley
591343,2,Albrecht Schoenhals,Albrecht Schoenhals
83259,1,Florinda Bolkan,Florinda Bolkan
32066,1,Nora Ricci,Nora Ricci
36756,1,Irina Wanka,Irina Wanka
1857537,0,Karin Mittendorf,Karin Mittendorf
3151287,1,Valentina Ricci,Valentina Ricci
991277,2,Wolfgang Hillinger,Wolfgang Hillinger
29430,0,Bill Vanders,Bill Vanders
1893740,2,Werner Hasselmann,Werner Hasselmann
557155,2,Peter Dane,Peter Dane
3151291,2,Mark Salvage,Mark Salvage
3151304,2,Richard Beach,Richard Beach
26344,2,Klaus Höhne,Klaus Höhne
3151307,2,Ernst Kuhr,Ernst Kuhr
1370687,2,Peter Brandt,Peter Brandt
3151309,2,Wolfgang Ehrlich,Wolfgang Ehrlich
1127378,1,Antonietta Fiorito,Antonietta Fiorito
1073040,1,Jessica Dublin,Jessica Dublin
2626315,2,Michele Scalera,Michele Scalera
52063,2,Al Cliver,Al Cliver
1197617,0,Kuniko Ishii,Kuniko Ishii
1911728,0,Misako Miyato,Misako Miyato
1911732,0,Kazuko Fukuda,Kazuko Fukuda
1911733,0,Ichirô Kimura,Ichirô Kimura
1911734,0,Haruo Asanu,Haruo Asanu
1911735,0,Minoru Yuasa,Minoru Yuasa
1911736,0,Akio Takahashi,Akio Takahashi
1911737,0,Kazuo Kimura,Kazuo Kimura
1911738,0,Kimiko Nakamura,Kimiko Nakamura
91373,1,Elizabeth Hubbard,Elizabeth Hubbard
103960,1,Lovelady Powell,Lovelady Powell
84682,2,Daniel Keyes,Daniel Keyes
1028514,0,Jon Richards,Jon Richards
1785326,1,Nikki Counselman,Nikki Counselman
1785327,1,Carol Peterson,Carol Peterson
1428151,1,Sloane Shelton,Sloane Shelton
14852,2,James Karen,James Karen
1785332,0,Gene Williams,Gene Williams
1785333,1,Jean Dexter,Jean Dexter
1785335,1,Valerie Ogden,Valerie Ogden
1237107,1,Beverly Penberthy,Beverly Penberthy
13724,1,Jane Alexander,Jane Alexander
156603,1,Marlene Warfield,Marlene Warfield
6561,2,Moses Gunn,Moses Gunn
58214,2,Larry Pennell,Larry Pennell
12411,2,Manuel Padilla Jr.,Manuel Padilla Jr.
2955414,2,Ernest Anderson,Ernest Anderson
95788,1,Susan Anspach,Susan Anspach
179383,1,Irene Dailey,Irene Dailey
95787,1,Lorna Thayer,Lorna Thayer
95785,2,Richard Stahl,Richard Stahl
15213,2,John P. Ryan,John P. Ryan
18251,1,Fannie Flagg,Fannie Flagg
95784,0,Marlena MacGuire,Marlena MacGuire
49352,1,Sally Struthers,Sally Struthers
1051709,0,Clay Greenbush,Clay Greenbush
19450,2,Bob Rafelson,Bob Rafelson
31070,2,Ryan O'Neal,Ryan O'Neal
162331,2,Russell Nype,Russell Nype
2176,2,Tommy Lee Jones,Tommy Lee Jones
27447,2,Sydney Walker,Sydney Walker
943602,2,Robert Modica,Robert Modica
975125,1,Katherine Balfour,Katherine Balfour
174639,1,Sudie Bond,Sudie Bond
1632587,0,Walker Daniels,Walker Daniels
1632588,2,John Merensky,John Merensky
