,gender,name,original_name
9088,1,Janet Gaynor,Janet Gaynor
1231648,2,Charles Farrell,Charles Farrell
1104843,2,Albert Gran,Albert Gran
76381,2,David Butler,David Butler
148441,1,Marie Mosquini,Marie Mosquini
98040,1,Gladys Brockwell,Gladys Brockwell
13346,2,Émile Chautard,Émile Chautard
85899,2,Ben Bard,Ben Bard
3163,2,George E. Stone,George E. Stone
1554473,0,Jessie Haslett,Jessie Haslett
29580,2,Brandon Hurst,Brandon Hurst
85738,1,Lillian West,Lillian West
1554493,0,Mary Borzage,Mary Borzage
1554495,0,Lewis Borzage Sr.,Lewis Borzage Sr.
1554492,0,Sue Borzage,Sue Borzage
1554494,0,Dolly Borzage,Dolly Borzage
9087,2,George O’Brien,George O’Brien
9089,1,Margaret Livingston,Margaret Livingston
9090,1,Bodil Rosing,Bodil Rosing
9091,2,J. Farrell MacDonald,J. Farrell MacDonald
9092,0,Ralph Sipperly,Ralph Sipperly
9093,1,Jane Winton,Jane Winton
9094,2,Arthur Housman,Arthur Housman
9095,2,Eddie Boland,Eddie Boland
9084,2,Herman Bing,Herman Bing
80546,2,Sidney Bracey,Sidney Bracey
9096,2,Gino Corrado,Gino Corrado
1518442,1,Vondell Darr,Vondell Darr
120534,1,Sally Eilers,Sally Eilers
9097,2,Gibson Gowland,Gibson Gowland
240803,2,Thomas Jefferson,Thomas Jefferson
137405,2,Bob Kortman,Bob Kortman
9076,2,F. W. Murnau,F. W. Murnau
148852,2,Barry Norton,Barry Norton
8514,2,Robert Parrish,Robert Parrish
1358272,1,Sally Phipps,Sally Phipps
116307,2,Harry Semels,Harry Semels
116187,2,Phillips Smalley,Phillips Smalley
29274,2,Leo White,Leo White
89102,2,Clarence Wilson,Clarence Wilson
587953,1,Norma Talmadge,Norma Talmadge
128324,2,Noah Beery,Noah Beery
29273,2,Gilbert Roland,Gilbert Roland
144021,2,Eddie Borden,Eddie Borden
13854,2,Harry Myers,Harry Myers
1173024,2,Michael Vavitch,Michael Vavitch
1187901,2,Brinsley Shaw,Brinsley Shaw
98010,2,Kalla Pasha,Kalla Pasha
1129895,2,Charles Darvas,Charles Darvas
1404240,0,Michael Dark,Michael Dark
3487,0,Walter Daniels,Walter Daniels
977228,1,Gilda Gray,Gilda Gray
13340,2,Clive Brook,Clive Brook
13341,1,Anna May Wong,Anna May Wong
1173023,0,Serge Temoff,Serge Temoff
1173025,0,Sôjin Kamiyama,Sôjin Kamiyama
1173026,0,Anne Schaefer,Anne Schaefer
100595,2,Albert Conti,Albert Conti
589729,1,Martha Mattox,Martha Mattox
288047,2,James B. Leong,James B. Leong
996887,0,William H. Tooker,William H. Tooker
68653,1,Claire Du Brey,Claire Du Brey
981098,1,Nora Cecil,Nora Cecil
1064446,1,Barbara Tennant,Barbara Tennant
130491,2,William Boyd,William Boyd
13992,1,Mary Astor,Mary Astor
2010,2,Louis Wolheim,Louis Wolheim
84230,2,Ian Keith,Ian Keith
120755,2,Michael Visaroff,Michael Visaroff
2922,2,Boris Karloff,Boris Karloff
138219,2,DeWitt Jennings,DeWitt Jennings
1637714,2,Nicholas Dunaew,Nicholas Dunaew
2216801,1,Jean Vachon,Jean Vachon
134872,2,David Cavendish,David Cavendish
97999,2,John George,John George
33278,2,H.B. Warner,H.B. Warner
8638,1,Anna Q. Nilsson,Anna Q. Nilsson
148425,2,Mickey McBan,Mickey McBan
29817,2,Lionel Belmore,Lionel Belmore
108102,1,Carmel Myers,Carmel Myers
1170727,0,Norman Trevor,Norman Trevor
1508146,0,Betsy Ann Hisle,Betsy Ann Hisle
1152729,2,Paul McAllister,Paul McAllister
1126366,1,Alice Joyce,Alice Joyce
29036,2,Nils Asther,Nils Asther
98007,1,Mary Nolan,Mary Nolan
1022678,2,Harry Langdon,Harry Langdon
1191024,0,Gladys McConnell,Gladys McConnell
136115,2,Cornelius Keefe,Cornelius Keefe
1130370,2,Arthur Thalasso,Arthur Thalasso
115995,2,Brooks Benedict,Brooks Benedict
1357127,2,Henry A. Barrows,Henry A. Barrows
1443697,0,Julia Brown,Julia Brown
1374560,0,Joe Butterworth,Joe Butterworth
1657995,0,John Kolb,John Kolb
144012,1,Frances Raymond,Frances Raymond
1471666,0,Agnes Steele,Agnes Steele
121889,2,Fred Warren,Fred Warren
95735,2,Clifton Young,Clifton Young
2181849,0,George Dunning,George Dunning
545450,1,Catherine Hessling,Catherine Hessling
545451,2,Jean Angelo,Jean Angelo
3000,2,Werner Krauß,Werner Krauß
5038,1,Valeska Gert,Valeska Gert
1343805,1,Jacqueline Forzane,Jacqueline Forzane
30766,2,Dennis Price,Dennis Price
37770,2,Claude Autant-Lara,Claude Autant-Lara
545452,2,Raymond Guérin-Catelain,Raymond Guérin-Catelain
1082579,2,Pierre Lestringuez,Pierre Lestringuez
1551425,0,Pierre Champagne,Pierre Champagne
48044,2,Karl Harbacher,Karl Harbacher
1121589,0,Jacqueline Ford,Jacqueline Ford
1556292,0,Luc Dartagnan,Luc Dartagnan
1678842,0,Nita Romani,Nita Romani
102499,1,Clara Bow,Clara Bow
102500,2,Charles Rogers,Charles Rogers
29760,2,Richard Arlen,Richard Arlen
102501,1,Jobyna Ralston,Jobyna Ralston
102502,2,El Brendel,El Brendel
14290,2,Richard Tucker,Richard Tucker
4068,2,Gary Cooper,Gary Cooper
1568496,0,Gunboat Smith,Gunboat Smith
30157,2,Roscoe Karns,Roscoe Karns
1033217,1,Julia Swayne Gordon,Julia Swayne Gordon
8830,2,Henry B. Walthall,Henry B. Walthall
1095828,1,Arlette Marchal,Arlette Marchal
34047,2,Nigel De Brulier,Nigel De Brulier
8637,1,Hedda Hopper,Hedda Hopper
13823,2,George Irving,George Irving
14643,2,William A. Wellman,William A. Wellman
3458404,0,Natives of the Wild,Natives of the Wild
1627035,0,Wild Beasts,Wild Beasts
3458405,0,The Jungle,The Jungle
1627037,0,Kru,Kru
1627038,0,Chantui,Chantui
3458407,0,Nah,Nah
3458408,0,Ladah,Ladah
3458409,0,Bimbo the Monkey,Bimbo the Monkey
3458410,0,Namul,Namul
3458411,0,Than,Than
14286,2,Al Jolson,Al Jolson
14287,1,May McAvoy,May McAvoy
13342,2,Warner Oland,Warner Oland
14288,1,Eugenie Besserer,Eugenie Besserer
14289,2,Otto Lederer,Otto Lederer
9643,2,Robert Gordon,Robert Gordon
21510,2,William Demarest,William Demarest
13577,1,Myrna Loy,Myrna Loy
90000,2,John Miljan,John Miljan
141305,2,Anders Randolf,Anders Randolf
1765159,0,Walter Rodgers,Walter Rodgers
148440,2,Will Walling,Will Walling
1182925,1,Ena Gregory,Ena Gregory
2596207,0,Yossele Rosenblatt,Yossele Rosenblatt
1030251,2,Nat Carr,Nat Carr
2596208,0,Ernest Belcher,Ernest Belcher
1167509,0,Neely Edwards,Neely Edwards
1329629,1,Audrey Ferris,Audrey Ferris
1275112,0,Leon Holmes,Leon Holmes
3223118,1,Jane Arden,Jane Arden
2430736,2,Ty Parvis,Ty Parvis
1329655,0,Carolynne Snowden,Carolynne Snowden
1487953,0,Violet Bird,Violet Bird
1183894,0,Joseph Green,Joseph Green
2596209,0,Claire Delmar,Claire Delmar
1432565,0,Seymour Kupper,Seymour Kupper
2596210,0,Mary Grace Larsen,Mary Grace Larsen
1323027,0,Margaret Oliver,Margaret Oliver
2596213,0,Marie Stapleton,Marie Stapleton
13555,2,George Bancroft,George Bancroft
86827,1,Evelyn Brent,Evelyn Brent
128198,2,Fred Kohler,Fred Kohler
128199,1,Helen Lynch,Helen Lynch
128200,2,Larry Semon,Larry Semon
96057,2,Jerry Mandy,Jerry Mandy
994615,0,Alfred Allen,Alfred Allen
1468755,0,Shep Houghton,Shep Houghton
1188616,2,Andy MacLennan,Andy MacLennan
1467872,1,Ida May,Ida May
3544548,0,Karl Morse,Karl Morse
120200,2,Bob Reeves,Bob Reeves
161702,2,Julian Rivero,Julian Rivero
29259,2,Lewis Stone,Lewis Stone
83476,2,Ricardo Cortez,Ricardo Cortez
262394,2,George Fawcett,George Fawcett
141753,1,Alice White,Alice White
121257,2,Bill Elliott,Bill Elliott
29977,2,Tom O'Brien,Tom O'Brien
1086580,2,Bert Sprotte,Bert Sprotte
2911,2,Károly Huszár,Károly Huszár
1301248,1,María Corda,María Corda
29999,2,Warner Baxter,Warner Baxter
99749,2,Edmund Lowe,Edmund Lowe
103014,1,Dorothy Burgess,Dorothy Burgess
95725,2,Henry Armetta,Henry Armetta
1170218,0,James Bradbury Jr.,James Bradbury Jr.
1170219,0,Joe Brown,Joe Brown
63383,2,Frank Campeau,Frank Campeau
97776,2,Alphonse Ethier,Alphonse Ethier
1058695,2,John Webb Dillion,John Webb Dillion
14420,2,Jim Farley,Jim Farley
581350,0,Soledad Jiménez,Soledad Jiménez
1015769,2,Ivan Linow,Ivan Linow
932309,2,Tom London,Tom London
1031882,1,Evelyn Selbie,Evelyn Selbie
2895,2,Emil Jannings,Emil Jannings
930621,1,Florence Vidor,Florence Vidor
930622,1,Vera Voronina,Vera Voronina
27733,2,Neil Hamilton,Neil Hamilton
98052,2,Harry Cording,Harry Cording
222834,1,Ossi Oswalda,Ossi Oswalda
29124,2,Wolfgang Zilzer,Wolfgang Zilzer
2403040,0,Anna Stranz-Führing,Anna Stranz-Führing
14130,1,Olga Engl,Olga Engl
27929,2,Percy Marmont,Percy Marmont
932400,2,Milton Sills,Milton Sills
595213,1,Dorothy Mackaill,Dorothy Mackaill
13556,1,Betty Compson,Betty Compson
51762,2,Douglas Fairbanks Jr.,Douglas Fairbanks Jr.
35505,1,Sylvia Ashton,Sylvia Ashton
194173,2,George Cooper,George Cooper
1381975,0,S.S. Simon,S.S. Simon
2240850,0,One-Eye Connelly,One-Eye Connelly
2501,2,Tom Dugan,Tom Dugan
1023906,1,Natalie Kingston,Natalie Kingston
1324566,2,Guido Trento,Guido Trento
302179,2,Alberto Rabagliati,Alberto Rabagliati
1324567,0,cino conti,cino conti
1324568,0,louis liggett,louis liggett
1324569,0,milton dickinson,milton dickinson
1324570,0,helena herman,helena herman
1006369,2,Dave Kashner,Dave Kashner
1324571,0,jennie bruno,jennie bruno
31550,1,Joan Crawford,Joan Crawford
100253,2,Johnny Mack Brown,Johnny Mack Brown
143820,1,Dorothy Sebastian,Dorothy Sebastian
98012,1,Anita Page,Anita Page
1064961,1,Kathlyn Williams,Kathlyn Williams
30006,2,Edward Nugent,Edward Nugent
142595,1,Dorothy Cumming,Dorothy Cumming
100803,2,Huntley Gordon,Huntley Gordon
1284334,0,Evelyn Hall,Evelyn Hall
29952,2,Sam De Grasse,Sam De Grasse
122984,2,Bert Moorhouse,Bert Moorhouse
90074,2,Monte Blue,Monte Blue
30015,1,Raquel Torres,Raquel Torres
1374201,2,Robert Anderson,Robert Anderson
1770048,0,Renee Bush,Renee Bush
1770049,0,Napua,Napua
1150933,1,Dorothy Janis,Dorothy Janis
222574,1,Mary Duncan,Mary Duncan
1064925,2,Charles Morton,Charles Morton
34442,1,Anita Louise,Anita Louise
19327,1,Anne Shirley,Anne Shirley
1188097,0,Nancy Drexel,Nancy Drexel
120701,2,George Davis,George Davis
32428,2,William Powell,William Powell
102327,2,Francis McDonald,Francis McDonald
95771,2,Leslie Fenton,Leslie Fenton
1023463,2,David Rollins,David Rollins
97989,1,Louise Fazenda,Louise Fazenda
100763,2,Billy Bevan,Billy Bevan
120750,0,Mildred Boyd,Mildred Boyd
14425,2,Mike Donlin,Mike Donlin
120443,2,Otto Fries,Otto Fries
99378,2,Dell Henderson,Dell Henderson
140875,1,Isabelle Keith,Isabelle Keith
119547,2,Russ Powell,Russ Powell
141069,0,Harry Schultz,Harry Schultz
1346977,2,Ferdinand Schumann-Heink,Ferdinand Schumann-Heink
19552,2,Rolfe Sedan,Rolfe Sedan
19549,1,Greta Garbo,Greta Garbo
98045,2,John Gilbert,John Gilbert
29536,2,Hobart Bosworth,Hobart Bosworth
141070,1,Gertrude Astor,Gertrude Astor
1016595,2,Agostino Borgato,Agostino Borgato
148429,2,Sydney Jarvis,Sydney Jarvis
103499,2,Fred Kelsey,Fred Kelsey
195086,2,Alphonse Martell,Alphonse Martell
1176510,2,William H. O'Brien,William H. O'Brien
29266,0,Frank Finch Smiles,Frank Finch Smiles
124309,2,George Arliss,George Arliss
21878,1,Doris Lloyd,Doris Lloyd
32139,2,David Torrence,David Torrence
7639,1,Joan Bennett,Joan Bennett
921146,1,Florence Arliss,Florence Arliss
96758,2,Anthony Bushell,Anthony Bushell
132536,2,Ivan F. Simpson,Ivan F. Simpson
725810,1,Gwendolyn Logan,Gwendolyn Logan
930678,2,Charles E. Evans,Charles E. Evans
656876,2,Cosmo Kyrle Bellew,Cosmo Kyrle Bellew
1064924,1,Margaret Mann,Margaret Mann
29522,2,Ronald Colman,Ronald Colman
117697,2,Claud Allister,Claud Allister
13343,2,Lawrence Grant,Lawrence Grant
92907,2,Montagu Love,Montagu Love
939842,2,Wilson Benge,Wilson Benge
104018,1,Lilyan Tashman,Lilyan Tashman
97995,2,Charles Sellon,Charles Sellon
1041502,2,Adolph Milar,Adolph Milar
29764,2,Tetsu Komai,Tetsu Komai
946773,1,Gertrude Short,Gertrude Short
149276,0,Donald Novis,Donald Novis
119402,2,Tom Ricketts,Tom Ricketts
88867,1,Norma Shearer,Norma Shearer
19406,2,Robert Montgomery,Robert Montgomery
587954,1,Belle Bennett,Belle Bennett
1021686,1,Helene Millard,Helene Millard
77160,1,Cecil Cunningham,Cecil Cunningham
1205434,2,Henry Hebert,Henry Hebert
1016036,1,Mary Doran,Mary Doran
1359100,1,June Nash,June Nash
121323,1,Bess Flowers,Bess Flowers
8629,1,Gloria Swanson,Gloria Swanson
148860,2,Robert Ames,Robert Ames
13358,2,Purnell Pratt,Purnell Pratt
148861,2,Wally Albright,Wally Albright
89501,2,William Holden,William Holden
30159,1,Blanche Friderici,Blanche Friderici
87858,0,Kay Hammond,Kay Hammond
81941,1,Mary Forbes,Mary Forbes
106092,1,Marcelle Corday,Marcelle Corday
131047,2,Ed Brady,Ed Brady
141029,0,Allan Cavan,Allan Cavan
34162,2,Richard Cramer,Richard Cramer
1082544,2,Bobby Dunn,Bobby Dunn
34293,2,Stuart Erwin,Stuart Erwin
89016,2,Lloyd Whitlock,Lloyd Whitlock
112972,2,Maurice Chevalier,Maurice Chevalier
98462,1,Jeanette MacDonald,Jeanette MacDonald
144518,2,Lupino Lane,Lupino Lane
136920,1,Lillian Roth,Lillian Roth
8728,2,Eugene Pallette,Eugene Pallette
999884,2,E.H. Calvert,E.H. Calvert
29602,2,Edgar Norton,Edgar Norton
95314,1,Virginia Bruce,Virginia Bruce
82315,1,Jean Harlow,Jean Harlow
1133401,1,Yola d'Avril,Yola d'Avril
33949,2,Ben Turpin,Ben Turpin
541133,1,Marilyn Miller,Marilyn Miller
1081269,2,Alexander Gray,Alexander Gray
3156,2,Joe E. Brown,Joe E. Brown
99377,2,T. Roy Barnes,T. Roy Barnes
179384,1,Pert Kelton,Pert Kelton
89519,2,Ford Sterling,Ford Sterling
1015322,1,Maude Turner Gordon,Maude Turner Gordon
997884,2,E.J. Ratcliffe,E.J. Ratcliffe
89014,2,Jack Duffy,Jack Duffy
1365319,0,Ethel Stone,Ethel Stone
99465,1,Nora Lane,Nora Lane
588899,1,Adrienne Ames,Adrienne Ames
1365320,1,Ruth Eddings,Ruth Eddings
140874,1,Anita Garvin,Anita Garvin
1365321,0,Harry Holden,Harry Holden
1194424,2,Daniel L. Haynes,Daniel L. Haynes
127560,1,Nina Mae McKinney,Nina Mae McKinney
1194425,0,William Fountaine,William Fountaine
1194426,0,Harry Gray,Harry Gray
1194427,0,Fanny Belle DeKnight,Fanny Belle DeKnight
1388780,0,Everett McGarrity,Everett McGarrity
1388781,0,Victoria Spivey,Victoria Spivey
1388782,0,Milton Dickerson,Milton Dickerson
1388783,0,Robert Couch,Robert Couch
1388784,0,Walter Tait,Walter Tait
589812,2,Matthew Beard,Matthew Beard
87825,2,Clarence Muse,Clarence Muse
116185,1,Ina Claire,Ina Claire
13576,2,Fredric March,Fredric March
114767,1,Mary Brian,Mary Brian
118265,1,Henrietta Crosman,Henrietta Crosman
32137,2,Charles Starrett,Charles Starrett
51279,2,Arnold Korff,Arnold Korff
14658,2,Frank Conroy,Frank Conroy
1730981,0,Royal C. Stout,Royal C. Stout
1157624,1,Elsie Esmond,Elsie Esmond
14454,2,Murray Alper,Murray Alper
1730982,0,Wesley Stark,Wesley Stark
592836,2,Herschel Mayall,Herschel Mayall
83260,1,Lucile Watson,Lucile Watson
2896,1,Marlene Dietrich,Marlene Dietrich
14563,2,Adolphe Menjou,Adolphe Menjou
1973717,2,Ullrich Haupt,Ullrich Haupt
1050223,1,Eve Southern,Eve Southern
115770,2,Paul Porcasi,Paul Porcasi
140515,1,Juliette Compton,Juliette Compton
1090856,0,Thomas A. Curran,Thomas A. Curran
97042,1,Theresa Harris,Theresa Harris
1547832,0,Lillian Savin,Lillian Savin
1312720,0,Philip Sleeman,Philip Sleeman
89610,1,Marie Dressler,Marie Dressler
29260,2,Wallace Beery,Wallace Beery
30558,1,Dorothy Jordan,Dorothy Jordan
83235,1,Marjorie Rambeau,Marjorie Rambeau
131448,2,Don Dillaway,Don Dillaway
99350,2,Russell Hopton,Russell Hopton
134868,2,Frank McGlynn Sr.,Frank McGlynn Sr.
1449191,0,Gretta Gould,Gretta Gould
1095107,2,Hank Bell,Hank Bell
975692,2,Jack Pennick,Jack Pennick
89013,2,Henry Roquemore,Henry Roquemore
103441,1,Ann Harding,Ann Harding
97994,2,Hallam Cooley,Hallam Cooley
97981,2,Creighton Hale,Creighton Hale
1416830,1,Elizabeth Forrester,Elizabeth Forrester
2437,2,Edward Everett Horton,Edward Everett Horton
1469601,1,Mabel Forrest,Mabel Forrest
112366,2,Monroe Owsley,Monroe Owsley
41516,1,Maureen O'Sullivan,Maureen O'Sullivan
255745,0,John Garrick,John Garrick
1019756,1,Marjorie White,Marjorie White
78902,2,Frank Albertson,Frank Albertson
39801,2,Mischa Auer,Mischa Auer
121018,2,Eddie Cantor,Eddie Cantor
246914,1,Ethel Shutta,Ethel Shutta
183203,0,Paul Gregory,Paul Gregory
149015,1,Eleanor Hunt,Eleanor Hunt
1092477,0,Jack Rutherford,Jack Rutherford
1310222,2,Walter Law,Walter Law
34280,2,Spencer Charters,Spencer Charters
26160,2,Albert Hackett,Albert Hackett
1310223,0,Chief Caupolican,Chief Caupolican
1310224,0,Lou-Scha-Enya,Lou-Scha-Enya
34756,1,Claire Dodd,Claire Dodd
117694,1,Jean Fenwick,Jean Fenwick
14027,1,Paulette Goddard,Paulette Goddard
64838,1,Betty Grable,Betty Grable
87685,1,Ann Sothern,Ann Sothern
96740,1,Marian Marsh,Marian Marsh
29313,2,Dean Jagger,Dean Jagger
148574,1,Dorothy Coonan Wellman,Dorothy Coonan Wellman
130385,1,Ruth Chatterton,Ruth Chatterton
2092,2,Paul Lukas,Paul Lukas
2125,2,David Manners,David Manners
20370,2,Irving Pichel,Irving Pichel
985150,0,Louise Mackintosh,Louise Mackintosh
128401,2,Oscar Apfel,Oscar Apfel
1359376,1,Veda Buckland,Veda Buckland
1438011,0,Edna West,Edna West
1353651,0,Ruth Lyons,Ruth Lyons
97176,2,George Baxter,George Baxter
233117,2,William Stack,William Stack
1197566,2,George C. Pearce,George C. Pearce
1072384,1,Helen Kane,Helen Kane
125364,2,Victor Moore,Victor Moore
87480,2,James Hall,James Hall
9067,2,Frank Morgan,Frank Morgan
14455,2,John Hamilton,John Hamilton
1291267,2,Robert Milasch,Robert Milasch
1360787,0,Roberta Robinson,Roberta Robinson
13344,1,Louise Closser Hale,Louise Closser Hale
1374600,2,Allan Forrest,Allan Forrest
19020,2,Walter Huston,Walter Huston
113513,2,Phillips Holmes,Phillips Holmes
19022,1,Constance Cummings,Constance Cummings
1016037,1,Ethel Wales,Ethel Wales
1016038,0,Clark Marshall,Clark Marshall
29263,2,Arthur Hoyt,Arthur Hoyt
14487,2,John St. Polis,John St. Polis
103947,2,Otto Hoffman,Otto Hoffman
139179,2,John Sheehan,John Sheehan
14966,2,Andy Devine,Andy Devine
1198258,0,James Guilfoyle,James Guilfoyle
34168,2,Frank Hagney,Frank Hagney
600741,2,Al Hill,Al Hill
32435,2,Harold Huber,Harold Huber
1471805,0,Harry Lamont,Harry Lamont
121066,2,Lee Phelps,Lee Phelps
227892,2,Nicholas Soussanin,Nicholas Soussanin
1222469,0,Jack Vance,Jack Vance
1582999,0,Hugh Walker,Hugh Walker
13789,2,Richard Barthelmess,Richard Barthelmess
74875,2,Frank McHugh,Frank McHugh
13557,2,Clyde Cook,Clyde Cook
131386,2,James Finlayson,James Finlayson
134875,2,Gardner James,Gardner James
96068,2,William Janney,William Janney
81291,2,Edmund Breon,Edmund Breon
189673,2,Jack Ackroyd,Jack Ackroyd
1090669,2,Harry Allen,Harry Allen
11435,2,Howard Hawks,Howard Hawks
1487108,0,Jack Jordan,Jack Jordan
118633,2,Dave O'Brien,Dave O'Brien
2007,2,Lew Ayres,Lew Ayres
96054,1,Dorothy Mathews,Dorothy Mathews
96055,2,Leon Janney,Leon Janney
124855,2,Robert Elliott,Robert Elliott
5788,2,James Cagney,James Cagney
96056,2,Kenneth Thomson,Kenneth Thomson
96058,2,Noel Madison,Noel Madison
96059,2,Edwin Argus,Edwin Argus
96060,2,Eddie Kane,Eddie Kane
96061,2,Tom Wilson,Tom Wilson
1549,2,Dwight Frye,Dwight Frye
2302589,0,Fred Argus,Fred Argus
1173990,1,Marie Astaire,Marie Astaire
229960,2,Elmer Ballard,Elmer Ballard
1086622,2,Joe Bordeaux,Joe Bordeaux
1022942,0,Clark Burroughs,Clark Burroughs
1195240,0,Nick Copeland,Nick Copeland
2302590,0,Bernard Granville,Bernard Granville
126753,1,Ruth Hall,Ruth Hall
1097503,2,Eddie Hart,Eddie Hart
81292,2,Thomas E. Jackson,Thomas E. Jackson
13825,2,John Kelly,John Kelly
148408,2,Gus Leonard,Gus Leonard
1173157,2,Larry McGrath,Larry McGrath
1446019,0,Collette Merton,Collette Merton
1811997,2,Eddie Moran,Eddie Moran
13970,2,Dick Purcell,Dick Purcell
32995,0,George Rosener,George Rosener
1198701,2,Cliff Saum,Cliff Saum
1313047,0,Tony Stabenau,Tony Stabenau
119549,2,Jack Wise,Jack Wise
145831,1,Nancy Carroll,Nancy Carroll
33742,2,Glenn Anders,Glenn Anders
1064361,1,Diane Ellis,Diane Ellis
1546671,0,Ollie Burgoyne,Ollie Burgoyne
3368,2,Leonard Carey,Leonard Carey
30184,2,Eric Blore,Eric Blore
2502,2,Charles Halton,Charles Halton
1533670,0,Duncan Penwarden,Duncan Penwarden
55278,2,Jackie Cooper,Jackie Cooper
14871,1,Irene Rich,Irene Rich
1509,2,Roscoe Ates,Roscoe Ates
32437,2,Edward Brophy,Edward Brophy
233118,2,Hale Hamilton,Hale Hamilton
1747371,2,Jesse Scott,Jesse Scott
95627,1,Marcia Mae Jones,Marcia Mae Jones
1055297,2,Dannie Mac Grant,Dannie Mac Grant
120811,2,Tom McGuire,Tom McGuire
1045090,2,Bob Perry,Bob Perry
975658,2,Andy Shuford,Andy Shuford
1317055,2,Dan Tobey,Dan Tobey
943043,2,Alfred Lunt,Alfred Lunt
943044,1,Lynn Fontanne,Lynn Fontanne
14685,2,Roland Young,Roland Young
34746,1,Zasu Pitts,Zasu Pitts
2503,1,Maude Eburne,Maude Eburne
13353,1,Ann Dvorak,Ann Dvorak
1176508,1,Geraldine Dvorak,Geraldine Dvorak
30163,2,Michael Mark,Michael Mark
148419,2,Eric Mayne,Eric Mayne
2433,1,Miriam Hopkins,Miriam Hopkins
29599,1,Rose Hobart,Rose Hobart
29600,2,Holmes Herbert,Holmes Herbert
29601,2,Halliwell Hobbes,Halliwell Hobbes
29603,1,Tempe Pigott,Tempe Pigott
1216356,2,Sam Harris,Sam Harris
1186832,2,Boyd Irwin,Boyd Irwin
2008,2,Arnold Lucy,Arnold Lucy
30200,2,Murdock MacQuarrie,Murdock MacQuarrie
120456,2,Robert Adair,Robert Adair
148416,2,Pat Harmon,Pat Harmon
22605,2,John Rogers,John Rogers
1518247,0,G.L. McDonnell,G.L. McDonnell
2928,2,Douglas Walton,Douglas Walton
1055289,2,Norman Chaney,Norman Chaney
1121489,0,Dorothy DeBorba,Dorothy DeBorba
1055290,2,Allen 'Farina' Hoskins,Allen 'Farina' Hoskins
1055291,2,Bobby 'Wheezer' Hutchins,Bobby 'Wheezer' Hutchins
1055292,1,Mary Ann Jackson,Mary Ann Jackson
149018,1,Shirley Jean Rickert,Shirley Jean Rickert
120209,2,Donald Haines,Donald Haines
141132,2,William Gillespie,William Gillespie
47439,1,Helen Hayes,Helen Hayes
30236,2,Cliff Edwards,Cliff Edwards
14868,2,Robert Young,Robert Young
32138,2,Jean Hersholt,Jean Hersholt
98971,1,Marie Prevost,Marie Prevost
13354,1,Karen Morley,Karen Morley
83474,2,Charles Winninger,Charles Winninger
8729,2,Alan Hale,Alan Hale
150948,2,Lennox Pawle,Lennox Pawle
67370,2,Frankie Darro,Frankie Darro
3245,2,Frank Reicher,Frank Reicher
89732,1,Virginia Sale,Virginia Sale
117802,2,Henri Marchand,Henri Marchand
117803,2,Raymond Cordy,Raymond Cordy
117804,0,Rolla France,Rolla France
117805,2,Paul Ollivier,Paul Ollivier
117806,0,Jacques Shelly,Jacques Shelly
117807,1,Germaine Aussey,Germaine Aussey
1320315,0,Léon Lorin,Léon Lorin
1496376,0,Vincent Hyspa,Vincent Hyspa
1177718,2,André Michaud,André Michaud
533797,1,Maximilienne,Maximilienne
77159,2,Alexander D'Arcy,Alexander D'Arcy
1003336,2,William Burke,William Burke
1177720,0,Eugène Stuber,Eugène Stuber
3400346,0,Ritou Lancyle,Ritou Lancyle
1342969,1,Marguerite de Morlaye,Marguerite de Morlaye
1411780,0,Léon Courtois,Léon Courtois
3792120,0,Robert Charlet,Robert Charlet
1334823,2,Albert Broquin,Albert Broquin
14519,2,Richard Bennett,Richard Bennett
887630,0,A.E. Anson,A.E. Anson
593759,2,Clarence Brooks,Clarence Brooks
145838,2,Alec B. Francis,Alec B. Francis
100346,2,Claude King,Claude King
29987,2,Bert Roach,Bert Roach
131813,2,David Landau,David Landau
3369,2,Lumsden Hare,Lumsden Hare
589728,2,Erville Alderson,Erville Alderson
4303,2,Ward Bond,Ward Bond
17755,1,Beulah Bondi,Beulah Bondi
1367759,0,Florence Britton,Florence Britton
128328,2,Sidney De Gray,Sidney De Gray
88906,2,Cyril Delevanti,Cyril Delevanti
1420617,0,Walter Downing,Walter Downing
89662,2,Sherry Hall,Sherry Hall
90333,2,Raymond Hatton,Raymond Hatton
94105,1,Charlotte Henry,Charlotte Henry
106091,2,George Humbert,George Humbert
198219,2,Mike Lally,Mike Lally
144006,1,Lillian Lawrence,Lillian Lawrence
1353645,2,Carl M. Leviness,Carl M. Leviness
148866,2,James A. Marcus,James A. Marcus
1193076,0,Kendall McComas,Kendall McComas
98047,2,Edmund Mortimer,Edmund Mortimer
4119,2,John Qualen,John Qualen
1899077,0,Edward Reinach,Edward Reinach
1471397,0,Milton Royce,Milton Royce
120462,2,Pat Somerset,Pat Somerset
1003641,1,Adele Watson,Adele Watson
141408,2,Bobby Watson,Bobby Watson
34128,2,Eric Wilton,Eric Wilton
22616,1,Lois Moran,Lois Moran
14688,2,John Halliday,John Halliday
935037,1,Greta Nissen,Greta Nissen
34755,2,Earle Foxe,Earle Foxe
1271640,2,Jesse De Vorska,Jesse De Vorska
940628,2,Crauford Kent,Crauford Kent
296085,2,James Kirkwood,James Kirkwood
1420479,2,Jack Low,Jack Low
1420613,0,Bob Montgomery,Bob Montgomery
1188385,0,Goodee Montgomery,Goodee Montgomery
