,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
White Rhapsody_1945,False,,[99],240395,en,White Rhapsody,"White Rhapsody is a 1945 short film directed by Jack Eaton, with Ted Husing narrating. The film explores the popular sport of skiing. It was nominated for an Oscar in the category Best Short Subject, One-Reel.",0.6,/aUR0WvtHQrNzbVioz2kY8tlLBY1.jpg,1945-01-01,White Rhapsody,False,5,1
Your National Gallery_1945,False,,[],240396,en,Your National Gallery,"Your National Gallery is a 1945 short documentary film directed by Thomas Mead. It was nominated for an Oscar in the category of Best Short Subject, One-Reel.",0.6,/8ITYsA2eR5x56Z3NqqYqQ9GssUE.jpg,1945-01-01,Your National Gallery,False,0,0
A Gun in His Hand_1945,False,,"[80, 18]",130357,en,A Gun in His Hand,"In this MGM Crime Does Not Pay series short, a young man graduates from the police academy at the top of his class. He then teams up with some local thieves and uses his knowledge of police procedures to pursue a career of undetected crime.",0.6,/b3hPoRjeFzzZp2ssBIFQPxamhnu.jpg,1945-09-15,A Gun in His Hand,False,5.6,5
The Jury Goes Round 'N' Round_1945,False,,[35],240387,en,The Jury Goes Round 'n' Round,Vera is one of many of a group of jurors who must work together to come up with a decision whether or not a man is guilty of murder.,0.6,/ghSSSQwXrpH7bKIzz3r7zQa2c7P.jpg,1945-06-01,The Jury Goes Round 'n' Round,False,0,0
The Little Witch_1945,False,,"[10402, 10749]",240388,en,The Little Witch,"Olga San Juan is the singing and dancing star of a night club in a South America country,and is in love with Bob Graham, the orchestra leader and vocalist, whose wealthy parents are unaware of his club and musical activities. The parents, when told of the romance, think the girl is after the son's future inheritance. A Paramount ""Musical Parade"" short.",0.6,/8162dEL6aUF3SlKHHqyBBP2CIpz.jpg,1945-12-28,The Little Witch,False,1,1
Star in the Night_1945,False,,"[18, 10751, 37]",150604,en,Star in the Night,"Nick, a motel owner who has lost faith in more than just the humanity of mankind, is visited by a kindly stranger on Christmas Eve. The motel's guests are only concerned for themselves until a poor man and his wife drive up to the motel, unable to go any further. Out of rooms, Nick's wife prepares a place for them in a shed under a neon star Nick had just finished hanging. Their plight brings out the generosity in everyone, including Nick, who remembers another family almost two thousand years earlier that also found a makeshift room at an inn under another kind of star.",1.4,/jqoSb6y0FSXFfFEHMlDBWA8HvBC.jpg,1945-10-13,Star in the Night,False,7.3,12
Lady on a Train_1945,False,/cAkRFw4VEKQrCqK6jA596WRnSXv.jpg,"[35, 80, 9648, 10749, 53]",30022,en,Lady on a Train,"While watching from her train window, Nikki Collins witnesses a murder in a nearby building. When she alerts the police, they think she has read one too many mystery novels. She then enlists a popular mystery writer to help her solve the crime on her own, but her sleuthing attracts the attentions of suitors and killers.",3.79,/9DylvvWcb52Qjq6lzN4lJxOcYyU.jpg,1945-08-03,Lady on a Train,False,6.4,34
They Were Expendable_1945,False,/iHDx1MZr0BsbT7rigPccuXxNWTX.jpg,"[18, 10752]",18771,en,They Were Expendable,"Shortly after Pearl Harbor, a squadron of PT-boat crews in the Philippines must battle the Navy brass between skirmishes with the Japanese. The title says it all about the Navy's attitude towards the PT-boats and their crews.",7.856,/ejzJHdvEtUVbiLrDE55DRQskYyf.jpg,1945-12-07,They Were Expendable,False,6.6,89
Three Is a Family_1945,,,,,,,,,,,,,,
The Unseen_1945,False,/xSBGjnE4V4qhahVcvBdBNNXZdsH.jpg,"[18, 9648, 53]",44001,en,The Unseen,"David Fielding, who has recently lost his wife, moves into a new neighborhood under a cloud of suspicion. Many feel that his wife's death in a car crash was no accident. Elizabeth Howard, the governess he hires to look after his children, makes it her mission to find out the truth. When other murders seem to be following David to his new town, Elizabeth investigates with the help of David's son Barnaby.",0.84,/gx9HkWioGnl94XS45Az80c7uvjt.jpg,1945-05-12,The Unseen,False,4,13
Captain Eddie_1945,False,/A8WK9ShkaMcehdzbpYHZ7AJ2uGk.jpg,[18],188116,en,Captain Eddie,"WWI flyer Eddie Rickenbaker remembers his life which brought him from a car salesman, race driver and pilot in WWI, to an important person in the early years of civil airline service, after his plane crashed in the South Pacific in late 1942.",1.155,/3FmG1uDh0Qo4OitfABffUpLGq2L.jpg,1945-06-18,Captain Eddie,False,6,1
The Affairs of Susan_1945,False,/kPVY6paDcRlaZGKLCGoKQqmheTs.jpg,"[35, 18, 10749]",192938,en,The Affairs of Susan,"Susan is about to be married, but the wedding may get called off after her fiancé summons three former beaus. Each reveals a different portrait of Susan: one describes her as a naive country girl who reluctantly becomes an actress, another paints a picture of a gay party girl and and the third describes a serious intellectual.",1.179,/pxwpg9hsMC8vclG622WO0jteDZ3.jpg,1945-07-08,The Affairs of Susan,False,6.1,8
The House on 92nd Street_1945,False,/2bsB9TcE2g02kMoLltkKxVx1oan.jpg,"[18, 28, 53, 80]",42295,en,The House on 92nd Street,The US Government tries to track down embedded Nazi agents in the States.,2.323,/7qU8bBe5kqkd2ZIqRpGAvwDW4gi.jpg,1945-09-10,The House on 92nd Street,False,6.4,30
Dillinger_1945,False,/loAiiv4A511550m9cps1ciTGVhI.jpg,"[18, 28, 53, 80]",28115,en,Dillinger,The life of American public enemy number one who was shot by the police in 1934.,1.918,/52fF9VV0ImOBtTKpAfKVYRVuuRv.jpg,1945-04-25,Dillinger,False,6,22
Marie-Louise_1945,,,,,,,,,,,,,,
Music for Millions_1945,,,,,,,,,,,,,,
Salty O'Rourke_1945,False,/3vK2b81oAwbKTV69G2mjepuGtRG.jpg,[18],126381,en,Salty O'Rourke,A gambler and his buddy find a wise-guy jockey for their long-shot horse.,1.413,/uJOd2gKQglFWP9nIfg6nGZPqy3C.jpg,1945-03-22,Salty O'Rourke,False,5.2,7
"What Next, Corporal Hargrove?_1945",False,,"[35, 10752]",215302,en,"What Next, Corporal Hargrove?",An Army corporal and his con-man sidekick take a shortcut to heroism in World War II France.,0.912,/zJvPcrEGcqSf1Y67Giqfq7kHJOE.jpg,1945-11-21,"What Next, Corporal Hargrove?",False,2,1
Pride of the Marines_1945,False,/zNcamSDSunP4l55pWijIhCodLI6.jpg,"[18, 10749, 10752]",52337,en,Pride of the Marines,Marine hero Al Schmid is blinded in battle and returns home to be rehabilitated. He readjusts to his civilian life with the help of his soon to be wife.,1.827,/jpDRMCsw1TsLVrrZgkecneIbHeD.jpg,1945-08-24,Pride of the Marines,False,6.5,9
nan_1945,False,,"[18, 10749]",265495,fr,Félicie Nanteuil,"At the beginning of the 20th century, the destiny of Félicie Nanteuil, a young girl from the provinces who became a big star on the stage thanks to a comedian who committed suicide out of love for her.",0.6,/dzK1JA8QAcoN8diA9L5OpuKTc2a.jpg,1944-12-20,Twilight,False,6,5
The Best Years of Our Lives_1946,False,/nCl5KzxUs4rVVlAdixDf4r5AbbZ.jpg,"[18, 10749, 10752]",887,en,The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",11.816,/gd5EoAU4MM57sW3vlWxJ0NMM8cV.jpg,1946-12-25,The Best Years of Our Lives,False,7.8,503
Henry V_1946,False,/zNca9BKPRMC1WtQYVJ619bqdaOZ.jpg,"[18, 28, 36]",22638,en,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,"In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",7.114,/eAisr20DvaKJeHvjDN0oHSx0l7u.jpg,1944-11-24,Henry V,False,6.7,89
The Jolson Story_1946,False,/bRn2ATb4gzCs5a4bLvLQhl0UUz6.jpg,"[18, 10402]",31206,en,The Jolson Story,"This movie shows the idealized career of the singer Al Jolson, a little Jewish boy who goes against the will of his father in order to be in showbiz. He becomes a star, falls in love with a non-Jewish dancer, and marries her. In the end he chooses success on the stage.",1.672,/TA8OqACOphikMD16HLeohJqPk.jpg,1946-10-10,The Jolson Story,False,6.7,14
The Yearling_1946,False,/tj6Un3zhB9KWcPYjMqGSaOnH0YQ.jpg,"[18, 10751, 37]",19049,en,The Yearling,"Jody convinces his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",5.565,/4N8oYLpY82ev7waXz7zwu7Ph1o1.jpg,1946-12-18,The Yearling,False,6.6,74
It's a Wonderful Life_1946,False,/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg,"[18, 10751, 14]",1585,en,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",34.781,/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,1946-12-20,It's a Wonderful Life,False,8.3,3609
The Green Years_1946,False,/9OmLo1a5kQ6EfJkAb5Z7Rw3ExjQ.jpg,[18],99351,en,The Green Years,"An orphaned young boy is guided by his great-grandfather and strives to go to university to become a doctor. However, the boy's harsh grandfather stands in his way.",0.92,/sD8tUj5O9zrOHbgovQoKFM9VdRw.jpg,1946-07-04,The Green Years,False,6.4,9
Notorious_1946,False,/9K8MWPiEVNV1FkxiVTV0HuZvNfa.jpg,"[53, 10749, 9648]",303,en,Notorious,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.",11.931,/4RERYb1NIQrJHYY5e8nUlYM7t2z.jpg,1946-08-21,Notorious,False,7.8,1300
The Razor's Edge_1946,False,/7P319Zq0RwYsAHmSjLndcOSW9kl.jpg,"[18, 10749, 12]",56135,en,The Razor's Edge,"An adventurous young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",5.637,/a6UTn8J0dftf4YBID6qAf1UeZEx.jpg,1946-11-19,The Razor's Edge,False,6.9,69
To Each His Own_1946,False,/jBNPZmostvsmuwN8cht90vSDe86.jpg,[18],54568,en,To Each His Own,"During World War I, small-town girl Josephine Norris has an illegitimate son by an itinerant pilot. After a scheme to adopt him ends up giving him to another family, she devotes her life to loving him from afar.",2.703,/jDk2Y8U2C7KupYv4GKmMfgx0y2s.jpg,1946-03-12,To Each His Own,False,6.9,21
Brief Encounter_1946,False,/vKvoOlhhaZCsiGQDvaZQqyGq1oA.jpg,"[18, 10749]",851,en,Brief Encounter,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",10.176,/jC9EwLJcGhYMSQAHu2LxkKN5v7O.jpg,1945-11-24,Brief Encounter,False,7.8,482
Duel in the Sun_1946,False,/vI1vzw7bVKEq8x1e8zIXUFLzQP4.jpg,"[37, 10749, 18]",32275,en,Duel in the Sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",7.302,/dW479xuDWrcuFuxr7yfoReztlzF.jpg,1946-12-31,Duel in the Sun,False,6.4,131
Sister Kenny_1946,False,/kve7uPGnLw6yXnfVd4Y6I30m7Zr.jpg,[18],51571,en,Sister Kenny,"An Australian nurse discovers an effective new treatment for infantile paralysis, but experiences great difficulty in convincing doctors of the validity of her claims.",1.4,/nPvQisrrOmN9gHGANTYbGyVo4lo.jpg,1946-10-10,Sister Kenny,False,6.5,12
The Spiral Staircase_1946,False,/sIBV8kj20P8h2h3abDphP5rfGuL.jpg,"[18, 27, 9648, 53]",27452,en,The Spiral Staircase,"On a stormy night, the mute servant to an ailing matriarch is stalked by a serial killer.",5.502,/4k0k9f59g901GWzw0gfFT7f5in.jpg,1946-02-06,The Spiral Staircase,False,7,187
Saratoga Trunk_1946,False,/xTyjYMJOFcGzv0bWiQJlBaKm9fW.jpg,"[18, 10749, 37]",46563,en,Saratoga Trunk,An opportunistic Texas gambler and the exiled Creole daughter of an aristocratic family join forces to achieve justice from the society that has ostracized them.,2.089,/5FyEqAihmhGBiOWqLOWMvxE0vq2.jpg,1945-11-21,Saratoga Trunk,False,5.6,13
Anna and the King of Siam_1946,False,/wcuLN4VaPWb59Q0l9edUjmqQuW4.jpg,"[18, 10749]",43471,en,Anna and the King of Siam,"In 1862, a young Englishwoman becomes royal tutor in Siam and befriends the King.",3.89,/6OdzIxV0nF0W7GNv5wMQWDyzye5.jpg,1946-08-11,Anna and the King of Siam,False,6.2,28
Kitty_1946,False,/4NQ1D9iNH3y0Lis7gmjYMh87nif.jpg,"[16, 35]",121159,en,Kitty Kornered,"Porky puts his cats out in the snow, but then they put him out and have a party. Expelling them again, Porky goes to bed, only to be terrorized by the felines' mock Martian invasion.",2.703,/hKcN8ZN81S3MhkFb5rIE0c258CK.jpg,1946-06-08,Kitty Kornered,False,7,30
Caesar and Cleopatra_1946,False,/ifbCrCs1GjyOu46CVGVVVlyA8yi.jpg,"[18, 36, 35]",31561,en,Caesar and Cleopatra,The aging Caesar finds himself intrigued by the young Egyptian queen. Adapted by George Bernard Shaw from his own play.,4.709,/sZHFk8miCUDzSloPn919ODqlWEA.jpg,1945-12-11,Caesar and Cleopatra,False,6.2,39
The Killers_1946,False,/eHntkxgTcLHxYCTusHNJndwDkpV.jpg,"[80, 9648, 53]",14638,en,The Killers,"Two hit men walk into a diner asking for a man called ""the Swede"". When the killers find the Swede, he's expecting them and doesn't put up a fight. Since the Swede had a life insurance policy, an investigator, on a hunch, decides to look into the murder. As the Swede's past is laid bare, it comes to light that he was in love with a beautiful woman who may have lured him into pulling off a bank robbery overseen by another man.",12.631,/uXnuc6pW01s1MDwb6QwBWg2JQeX.jpg,1946-08-28,The Killers,False,7.4,306
Atomic Power_1946,False,,[99],240418,en,Atomic Power!,"Atomic Power! is an American short documentary film produced by The March of Time and released to theaters August 9, 1946, one year after the end of World War II. It is a recreation of the making of the atomic bomb leading up to the Trinity test. It was nominated for an Academy Award for Best Documentary Short.",0.6,/fvtaQFPDnQmwkjmDq75itMp6EjK.jpg,1946-08-09,Atomic Power!,False,6,1
Life at the Zoo_1946,False,,[],240419,en,Life at the Zoo,Oscar nominated 1946 short documentary,0.6,/vGDe2y0HscgAHadH5OW1YSdWqf8.jpg,1946-01-01,Life at the Zoo,False,0,0
Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947)_1946,False,,[],240420,en,Paramount News Issue #37,Oscar nominated 1946 short documentary,0.6,/xp9oa5V6oQ4xUIxKdTeOoAPSVEC.jpg,1946-01-01,Paramount News Issue #37,False,5,3
Seeds of Destiny_1946,False,/ezRe8WdVQt9l4ZxaSHowtMzlENi.jpg,"[99, 10752]",240417,en,Seeds of Destiny,"Oscar winning postwar propaganda film in support of the United Nations Relief and Rehabilitation Administration. Strident but poignant, focusing on children. The film surveys the Nazi/Japanese atrocities, post-war devastation and the early relief efforts. This film was responsible for raising over $200,000,000, making it a top moneymaking film.",0.676,/44GbzIQaJLiGaBHGxIHfjRF2Rsz.jpg,1946-01-01,Seeds of Destiny,False,6,6
Traffic with the Devil_1946,False,,[99],240422,en,Traffic with the Devil,"This ""Theater of Life"" series short looks at traffic problems in Los Angeles, California, as described and experienced by Sgt. Charles Reineke, a traffic enforcement officer with the Los Angeles Police Department.",1.271,/gVSmz3nAEn7J0FkN2GRXhShlbNf.jpg,1946-08-31,Traffic with the Devil,False,6.3,6
Humoresque_1946,False,/nzgX5foBcMUoye9Kg8VPeLqL59h.jpg,"[18, 10402, 10749]",26701,en,Humoresque,"A classical musician from a working class background is sidetracked by his love for a wealthy, neurotic socialite.",2.978,/tJCIfxap0C7maxpjKtzNrj29dHW.jpg,1947-01-25,Humoresque,False,7.1,44
Blue Skies_1946,False,/wXlJlcjcuCf3pTJS656qRA0xH3k.jpg,"[35, 10749]",53446,en,Blue Skies,"Jed Potter looks back on a love triangle conducted over the course of years and between musical numbers. Dancer Jed loves showgirl Mary, who loves compulsive nightclub-opener Johnny, who can't stay committed to anything in life for very long.",2.678,/uPNmCJliNheRdHkemlq82QfqPex.jpg,1946-10-15,Blue Skies,False,5.8,20
Centennial Summer_1946,False,/xhrIY16rl83Hb8k8nmqdn6ttKfO.jpg,"[36, 18]",118908,en,Centennial Summer,"In 1876 Philadelphia, two sisters vie for the affections of a Frenchman who's come to town to prepare the French pavilion for the Centennial exposition.",1.263,/aNVL84a8PPzwMdez4gwDXRoKKw4.jpg,1946-07-10,Centennial Summer,False,6,5
The Harvey Girls_1946,False,/kC4AOQAvk9g6oybMpniplAiKkbw.jpg,"[35, 10402, 37]",28907,en,The Harvey Girls,"On a train trip West to become a mail-order bride, Susan Bradley meets a cheery crew of young women traveling out to open a ""Harvey House"" restaurant at a remote whistle-stop.",4.929,/jk38rtmtxoLkHDLjLP7u7QhfkRH.jpg,1946-01-18,The Harvey Girls,False,6.7,36
Night and Day_1946,False,/35kwCFM9tNu9Y5AlvSDSYGSkXXg.jpg,"[18, 10402]",43485,en,Night and Day,"Swellegant and elegant. Delux and delovely. Cole Porter was the most sophisticated name in 20th-century songwriting. And to play him on screen, Hollywood chose debonair icon Cary Grant. Grant stars for the first time in color in this fanciful biopic. Alexis Smith plays Linda, whose serendipitous meetings with Cole lead to a meeting at the alter. More than 20 Porter songs grace this tail of triumph and tragedy, with Grand lending is amiable voice to ""You're the Top"", ""Night and Day"" and more. Monty Wooley, a Yale contemporary of Porter, portrays himself. And Jane Wyman, Mary Martin, Eve Arden and others provide vocals and verve. Lights down. Curtain up. Standards embraced by generations are yours to enjoy in ""Night and Day.""",4.078,/uh09yjPRZdNLIaFVqyNLFcweaKY.jpg,1946-07-02,Night and Day,False,5.6,23
The Dolly Sisters_1946,,,,,,,,,,,,,,
Canyon Passage_1946,False,/vBvnDzuMdiPZcvUWSqaBGWYOoda.jpg,[37],37309,en,Canyon Passage,Businessman Logan Stuart is torn between his love of two very different women in 1850s Oregon and his loyalty to a compulsive gambler friend who goes over the line.,5.365,/iy925DFFwjDAk4Lz4r5FrnCWYTZ.jpg,1946-07-17,Canyon Passage,False,6.8,48
The Cat Concerto_1946,,,,,,,,,,,,,,
Chopin's Musical Moments_1946,,,,,,,,,,,,,,
John Henry and the Inky Poo_1946,False,,"[16, 18]",237065,en,John Henry and the Inky-Poo,"In this Puppetoon animated short film (an Academy Award Best Short Subject, Cartoons nominee), legendary American folklore figure John Henry (voice of Rex Ingram) goes to work for the C&O Railroad, which shortly thereafter buys an automatic steel-driving engine, The Inky-Poo. John Henry matches his strength against the engine, saying that any man can beat a machine because a man has a mind. Can he prevail? In 2015 this film, deemed ""culturally, historically, or aesthetically significant"", was selected for preservation in the United States National Film Registry.",1.107,/qAGZlHcV2eTluxJ5R9gUve63Qbh.jpg,1946-09-06,John Henry and the Inky-Poo,False,6,15
Squatter's Rights_1946,False,/3syZETcvUujdM4MiEMWOcQz3gws.jpg,[16],68512,en,Squatter's Rights,"Two chipmunks have made a cozy little home for themselves in the wood-burning stove of an empty cabin. They sleep in a matchbox, wash up in an empty acorn shell filled with water and look at their reflections on the back of a spoon, which serves as their bathroom mirror. They even have a staircase made with a pocket comb. Invading their space are Mickey Mouse and his dog Pluto, who are all set for a swell vacation. They don't reckon on the two squatters. Pluto immediately discovers the presence of these two pests, but Mickey never finds out. All he knows is that when he tries to light the stove, the matches go out; he doesn't know the chipmunks are blowing them out. Soon, Mickey is outside chopping wood, while Pluto is alone with the chipmunks. Pluto wants blood, but he'll end up with a bottle of ketchup.",1.926,/gndvemCE0VlZCgwR3q6ugIkeJGz.jpg,1946-06-07,Squatter's Rights,False,7,15
Walky Talky Hawky_1946,False,/k2N1QX0LIgIZ7Qq7WYGWCLoYZxz.jpg,[16],100388,en,Walky Talky Hawky,"Young Henery Hawk's father regretfully admits their family's shame: they hunt and eat chickens. Henery set off to find one, and comes across Foghorn Leghorn, where the loudmouth rooster is engaged in his favorite pastime, playing tricks on a grumpy dog.",1.787,/mAQ29TvmJGkEFSxnIEtXvUYgZW0.jpg,1946-08-31,Walky Talky Hawky,False,6.9,27
Dive-Hi Champs_1946,False,,[99],240411,en,Dive-Hi Champs,"Dive-Hi Champs is a 1946 short documentary film, a Grantland Rice Sportlight segment from Paramount Studios and Jack Eaton featuring a cavalcade of diving highlights, from youngsters at the local swimming hole to athletes jumping from giant earth-moving equipment in the Panama Canal. It was  nominated for an Oscar for Best Live Action Short Film, One-Reel.",0.6,/xsThgaKL4mwvooNNjy5GBoeaCU7.jpg,1946-11-01,Dive-Hi Champs,False,0,0
Facing Your Danger_1946,False,/vGI66VU5EZntZ3UvjzlorTRw8kt.jpg,"[99, 12]",240410,en,Facing Your Danger,"This Warner Bros. The Sports Parade series short chronicles the attempt by a group of men to navigate the Colorado River through the Grand Canyon to Lake Mead. Led by Norman D. Nevills, nine men undertake a nineteen days trip in three specially built rowboats through the more than 200 rapids, some which run at 30 mph. Along the way, they see the remnants of previous expeditions. They also visit abandoned Pueblo Indian cave dwellings.",0.6,/bJFl77KVCAt7PS7FMWtPsdqsKoK.jpg,1946-05-11,Facing Your Danger,False,5.8,6
Golden Horses_1946,False,,[],240414,en,Golden Horses,"Golden Horses is a 1946 English language short film directed by Tom Cummiskey, starring Ed Thorgersen. It has been nominated for an Oscar for Best Live-Action Short, One-Reel.",0.6,/ean46mx5M1ugvgKFIoBcypjtxhS.jpg,1946-01-01,Golden Horses,False,0,0
Smart as a Fox_1946,False,,"[99, 12]",240415,en,Smart as a Fox,"Smart as a Fox is a 1946 short documentary film supervised by Gordon Hollingshead. In this short film, a fox cub experiences life in the forest. It was nominated for an Oscar for Best Live Action Short, One-Reel.",0.765,/2RM4usvCpopX9duyrygTKw5X3Zz.jpg,1946-04-27,Smart as a Fox,False,5,4
Sure Cures_1946,False,/xFAly2sW5HiSB7mRdyFsR9V6tN4.jpg,[35],240416,en,Sure Cures,"This comedic Pete Smith Specialty short examines the folly of using ""home remedies"" for various ills.",0.6,/liCfvC2Ictvt0K890SSxXVoNw7g.jpg,1946-11-02,Sure Cures,False,5,4
A Boy and His Dog_1946,False,,"[18, 10751]",240406,en,A Boy and His Dog,"In this Academy Award Best Short Subject winner, 11 year old Davy discovers that a chained gentle dog, Buck, is badly wounded around the neck because of the thick, tight collar he is made to constantly wear by his unfeeling owner. When Buck comes through the fence and becomes stuck, Davy removes the collar. Even though the boy tells him to stay in his owner's yard, the dog follows him home.",1.196,,1946-12-26,A Boy and His Dog,False,5.3,11
College Queen_1946,False,,"[35, 10402]",240408,en,College Queen,"Tom Cannon, a tap-dancer senior at State University sets out to find a College Queen for the upcoming competition. He selects Cindy Harris, a girl who is working her way through college as a waitress and can sing and dance. They win and she is named College Queen. Songs include ""I'm Learning a Lot in College"" and ""Down the Old Ox Road.""",0.6,/oZXkfDmPW7DVRC9dHiHvZhgS5Yh.jpg,1946-05-17,College Queen,False,0,0
Hiss and Yell_1946,False,/zIV12C9F26F2hUAd47cXi0SwnVE.jpg,[35],240409,en,Hiss and Yell,"Vera thinks she's witnessed a man decapitating his wife. Actually, she's only seen magician Bluebeard the Great rehearsing his act. Still convinced that the magician is a killer, Vera goes through all sorts of comic agony when she is forced to share the same train compartment with Bluebeard (who doesn't help matters when he offers her a sandwich consisting of ""scrambled brains and tongue"").",0.6,/eryFV5JnuSAYuRIoJ5i6dN9rioe.jpg,1946-02-14,Hiss and Yell,False,2,1
The Luckiest Guy in the World_1946,,,,,,,,,,,,,,
Blithe Spirit_1946,False,/mp5q3F8rq5mGR3TtKgEJ8fTpqUc.jpg,"[35, 14]",19072,en,Blithe Spirit,"An English mystery novelist invites a medium to his home, so she may conduct a séance for a small gathering. The writer hopes to gather enough material for the book he's working on, as well as to expose the medium as a charlatan. However, proceedings take an unexpected turn, resulting in a chain of supernatural events being set into motion that wreak havoc on the man's present marriage.",10.244,/mBKB90yS8Gti4QhcYGuUeJmeOoC.jpg,1945-04-05,Blithe Spirit,False,7,104
A Stolen Life_1946,False,/fJRSfSobrZL2mVVNhGPgS36IWid.jpg,[18],43470,en,A Stolen Life,A twin takes her deceased sister's place as wife of the man they both love.,4.645,/zwa3EVAc4dvq1G3WTAL9FBFGNCD.jpg,1946-05-01,A Stolen Life,False,6.5,37
The Dark Mirror_1946,False,/n6HcY2ZV8WYXGPKOBKE9cwhXhgR.jpg,"[53, 9648]",44041,en,The Dark Mirror,A sister and her disturbed twin are implicated in a murder and a police detective must figure out which one's the killer.,6.965,/alPmSztgFvIBcslKnPVtp14tlkF.jpg,1946-10-17,The Dark Mirror,False,6.9,86
The Strange Love of Martha Ivers_1946,False,/ivXQ7FTKRcazQqVNkocITcT1yFh.jpg,"[18, 53]",27033,en,The Strange Love of Martha Ivers,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.",5.99,/iUAq0UYHglCsnHVbBLcJvZ6KQN9.jpg,1946-08-19,The Strange Love of Martha Ivers,False,7.1,131
The Stranger_1946,False,/eewSm2QKPMueCM3ix5r3aE5eIur.jpg,"[80, 18]",20246,en,The Stranger,"An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi, who may be hiding out in a small town in the guise of a distinguished professor engaged to the Supreme Court Justice’s daughter.",8.932,/bzjoPScBLUWpSu10m3GbSbSwVhS.jpg,1946-07-02,The Stranger,False,7.3,476
Vacation from Marriage_1946,,,,,,,,,,,,,,
The Blue Dahlia_1946,False,/lMpSxEci1FyaMGtBDWtY9Jd2TAp.jpg,"[80, 18]",16090,en,The Blue Dahlia,Soon after a veteran's return from war his cheating wife is found dead. He evades police in an attempt to find the real murderer.,7.909,/ub3sARpEHbSHgmTbcjnUbkLMeum.jpg,1946-04-16,The Blue Dahlia,False,6.7,123
Children of Paradise_1946,False,/59kBgtfbhh1dalgjGvFhDL98jN.jpg,"[18, 10749]",2457,fr,Les Enfants du Paradis,"Nathalie falls for Baptiste Debureau, a mime. But his heart is set on Garance, who is also coveted by Frederick Lemaitre and the Count of Montray.",8.081,/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg,1945-03-15,Children of Paradise,False,8.2,326
Road to Utopia_1946,False,/rpnilQ69Pua9q8gAKKlrgHE5qfx.jpg,"[12, 35, 10751, 10402]",29021,en,Road to Utopia,"While on a ship to Skagway, Alaska, Duke and Chester find a map to a secret gold mine, which had been 'stolen' by thugs. In Alaska to recover her father's map, Sal Van Hoyden falls in with Ace Larson, who secretly wants to steal the gold mine for himself. Duke, Chester, the thugs, Ace and his henchman chase each other all over the countryside—for the map.",2.24,/nASL3unRBUDjAcJmE8HPjbL665M.jpg,1945-11-01,Road to Utopia,False,6.7,31
The Seventh Veil_1946,,,,,,,,,,,,,,
Open City_1946,False,/cztYhbawTjK9m8lFBd97Yl5Zd8r.jpg,"[18, 36, 10752]",307,it,Roma città aperta,"During the Nazi occupation of Rome in 1944, the leader of the Resistance is chased by the Nazis as he seeks refuge and a way to escape.",8.148,/ijGV4v8JxgbNzgEhqKdzHdaZn8a.jpg,1945-10-08,"Rome, Open City",False,8,719
nan_1946,False,,[80],1024017,ja,七つの顔,First film of the Bannai Tarao series starring Chiezo Kataoka,0.6,/eJ831GXyhZ6gchUK396PArBQF27.jpg,1946-12-31,Seven Faces,False,0,0
A Double Life_1947,False,/r9xIDDGz1AsKkPWiFGCTmFlVkWN.jpg,"[80, 18, 53]",41206,en,A Double Life,A Shakespearian actor starring as Othello opposite his wife finds the character's jealous rage taking over his mind off-stage.,4.793,/nBYLl39IrdB6RkVQkToeG9k599R.jpg,1947-12-25,A Double Life,False,6.6,47
